Review,Liked
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,Yes
The bathrooms are clean and the place itself is well decorated.,Yes
"The menu is always changing, food quality is going down & service is extremely slow.",No
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",No
I give it 2 thumbs down,No
We watched our waiter pay a lot more attention to other tables and ignore us.,No
My fiancé and I came in the middle of the day and we were greeted and seated right away.,Yes
This is a great restaurant at the Mandalay Bay.,Yes
We waited for forty five minutes in vain.,No
Crostini that came with the salad was stale.,No
Some highlights : Great quality nigiri here!,Yes
the staff is friendly and the joint is always clean.,Yes
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,Yes
I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,Yes
this place is good.,Yes
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",No
I came back today since they relocated and still not impressed.,No
I was seated immediately.,Yes
"Their menu is diverse, and reasonably priced.",Yes
Restaurant is always full but never a wait.,Yes
The food was very delicious.    ,Yes
DELICIOUS!!.,Yes
This place is hands-down one of the best places to eat in the Phoenix metro area.,Yes
So don't go there if you are looking for good food...,No
I've never been treated so bad.,No
Bacon is hella salty.,Yes
"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",No
"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",Yes
The waitresses are very friendly.,Yes
"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",Yes
Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,Yes
"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",No
The service here leaves a lot to be desired.,No
"The atmosphere is modern and hip, while maintaining a touch of coziness.",Yes
"Not a weekly haunt, but definitely a place to come back to every once in a while.",Yes
We literally sat there for 20 minutes with no one asking to take our order.,No
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",No
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,No
I dressed up to be treated so rudely!,No
It was probably dirt.,No
"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",Yes
I ordered the Lemon raspberry ice cocktail which was also incredible.,Yes
"The food sucked, which we expected but it sucked more than we could have imagined.",No
Interesting decor.,Yes
What I really like there is the crepe station.,Yes
"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",Yes
you can watch them preparing the delicious food!),Yes
Both of the egg rolls were fantastic.,Yes
"When my order arrived, one of the gyros was missing.",No
"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",Yes
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,No
The best place to go for a tasty bowl of Pho!,Yes
The live music on Fridays totally blows.,No
I've never been more insulted or felt disrespected.,No
Very friendly staff.,Yes
It is worth the drive.,Yes
"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",Yes
Food was great and so was the serivce!,Yes
The warm beer didn't help.,No
Great brunch spot.,Yes
Service is friendly and inviting.,Yes
Very good lunch spot.,Yes
I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,No
The WORST EXPERIENCE EVER.,No
Must have been an off night at this place.,No
"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",Yes
"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",No
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",No
My friend loved the salmon tartar.,Yes
Won't go back.,No
Extremely Tasty!,Yes
Waitress was good though!,Yes
Soggy and not good.,No
The Jamaican mojitos are delicious.,Yes
Which are small and not worth the price.,No
the food is rich so order accordingly.,Yes
"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",No
The service was a bit lacking.,No
"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",No
Hopefully this bodes for them going out of business and someone who can cook can come in.,No
"It was either too cold, not enough flavor or just bad.",No
I loved the bacon wrapped dates.,Yes
This is an unbelievable BARGAIN!,Yes
The folks at Otto always make us feel so welcome and special.,Yes
"As for the ""mains,"" also uninspired.",No
This is the place where I first had pho and it was amazing!!,Yes
This wonderful experience made this place a must-stop whenever we are in town again.,Yes
"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",No
Very very fun chef.,Yes
"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",No
Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,Yes
"If it were possible to give them zero stars, they'd have it.",No
"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",No
"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",Yes
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,No
"Everyone is very attentive, providing excellent customer service.",Yes
Horrible - don't waste your time and money.,No
Now this dish was quite flavourful.,Yes
By this time our side of the restaurant was almost empty so there was no excuse.,No
"(It wasn't busy either) Also, the building was FREEZING cold.",No
"like the other reviewer said ""you couldn't pay me to eat at this place again.""",No
Drinks took close to 30 minutes to come out at one point.,No
"Seriously flavorful delights, folks.",Yes
Much better than the other AYCE sushi place I went to in Vegas.,Yes
The lighting is just dark enough to set the mood.,Yes
Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,No
Owner's are really great people.!,Yes
There is nothing privileged about working/eating there.,No
The Greek dressing was very creamy and flavorful.,Yes
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",No
Now the pizza itself was good the peanut sauce was very tasty.,Yes
We had 7 at our table and the service was pretty fast.,Yes
Fantastic service here.,Yes
I as well would've given godfathers zero stars if possible.,No
They know how to make them here.,Yes
very tough and very short on flavor!,No
I hope this place sticks around.,Yes
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",No
The restaurant atmosphere was exquisite.,Yes
"Good service, very clean, and inexpensive, to boot!",Yes
The seafood was fresh and generous in portion.,Yes
"Plus, it's only 8 bucks.",Yes
"The service was not up to par, either.",No
"Thus far, have only visited twice and the food was absolutely delicious each time.",Yes
Just as good as when I had it more than a year ago!,Yes
"For a self proclaimed coffee cafe, I was wildly disappointed.",No
The Veggitarian platter is out of this world!,Yes
You cant go wrong with any of the food here.,Yes
You can't beat that.,Yes
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",Yes
The chefs were friendly and did a good job.,Yes
"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",No
I liked the patio and the service was outstanding.,Yes
The goat taco didn't skimp on the meat and wow what FLAVOR!,Yes
I think not again,No
I had the mac salad and it was pretty bland so I will not be getting that again.,No
I went to Bachi Burger on a friend's recommendation and was not disappointed.,Yes
Service stinks here!,No
I waited and waited.,No
"This place is not quality sushi, it is not a quality restaurant.",No
I would definitely recommend the wings as well as the pizza.,Yes
Great Pizza and Salads!,Yes
Things that went wrong: - They burned the saganaki.,No
We waited an hour for what was a breakfast I could have done 100 times better at home.,No
This place is amazing!,Yes
"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",No
Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,No
Just don't know why they were so slow.,No
"The staff is great, the food is delish, and they have an incredible beer selection.",Yes
"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",No
I didn't know pulled pork could be soooo delicious.,Yes
"You get incredibly fresh fish, prepared with care.",Yes
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,No
I love the fact that everything on their menu is worth it.,Yes
Never again will I be dining at this place!,No
The food was excellent and service was very good.,Yes
Good beer & drink selection and good food selection.,Yes
Please stay away from the shrimp stir fried noodles.,No
The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,No
Food was really boring.,No
Good Service-check!,Yes
This greedy corporation will NEVER see another dime from me!,No
"Will never, ever go back.",No
"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",No
"In the summer, you can dine in a charming outdoor patio - so very delightful.",Yes
I did not expect this to be so good!,Yes
Fantastic food!,Yes
She ordered a toasted English muffin that came out untoasted.,No
The food was very good.,Yes
Never going back.,No
"Great food for the price, which is very high quality and house made.",Yes
The bus boy on the other hand was so rude.,No
"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",No
"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",Yes
"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",Yes
All the bread is made in-house!,Yes
The only downside is the service.,No
"Also, the fries are without a doubt the worst fries I've ever had.",No
Service was exceptional and food was a good as all the reviews.,Yes
"A couple of months later, I returned and had an amazing meal.",Yes
Favorite place in town for shawarrrrrrma!!!!!!,Yes
The black eyed peas and sweet potatoes... UNREAL!,Yes
You won't be disappointed.,Yes
"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",Yes
"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",No
When my mom and I got home she immediately got sick and she only had a few bites of salad.,No
The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,No
"Both of them were truly unbelievably good, and I am so glad we went back.",Yes
"We had fantastic service, and were pleased by the atmosphere.",Yes
Everything was gross.,No
I love this place.,Yes
Great service and food.,Yes
First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,No
"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",No
"OMG, the food was delicioso!",Yes
There is nothing authentic about this place.,No
the spaghetti is nothing special whatsoever.,No
"Of all the dishes, the salmon was the best, but all were great.",Yes
The vegetables are so fresh and the sauce feels like authentic Thai.,Yes
It's worth driving up from Tucson!,Yes
The selection was probably the worst I've seen in Vegas.....there was none.,No
Pretty good beer selection too.,Yes
"This place is like Chipotle, but BETTER.",Yes
"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",Yes
5 stars for the brick oven bread app!,Yes
"I have eaten here multiple times, and each time the food was delicious.",Yes
We sat another ten minutes and finally gave up and left.,No
He was terrible!,No
Everyone is treated equally special.,Yes
It shouldn't take 30 min for pancakes and eggs.,No
It was delicious!!!,Yes
"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",Yes
"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",No
As always the evening was wonderful and the food delicious!,Yes
Best fish I've ever had in my life!,Yes
(The bathroom is just next door and very nice.),Yes
The buffet is small and all the food they offered was BLAND.,No
This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,Yes
Pretty cool I would say.,Yes
Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,No
Server did a great job handling our large rowdy table.,Yes
"I find wasting food to be despicable, but this just wasn't food.",No
My wife had the Lobster Bisque soup which was lukewarm.,No
Would come back again if I had a sushi craving while in Vegas.,Yes
"The staff are great, the ambiance is great.",Yes
He deserves 5 stars.,Yes
I left with a stomach ache and felt sick the rest of the day.,No
They dropped more than the ball.,No
"The dining space is tiny, but elegantly decorated and comfortable.",Yes
"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",Yes
And the beans and rice were mediocre at best.,No
Best tacos in town by far!!,Yes
I took back my money and got outta there.,No
"In an interesting part of town, this place is amazing.",Yes
RUDE & INCONSIDERATE MANAGEMENT.,No
"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",No
I won't be back.,No
They have great dinners.,Yes
The service was outshining & I definitely recommend the Halibut.,Yes
The food was terrible.,No
WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,No
I don't recommend unless your car breaks down in front of it and you are starving.,No
I will come back here every time I'm in Vegas.,Yes
This place deserves one star and 90% has to do with the food.,No
This is a disgrace.,No
Def coming back to bowl next time,Yes
"If you want healthy authentic or ethic food, try this place.",Yes
I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area.,Yes
"I have been here several times in the past, and the experience has always been great.",Yes
We walked away stuffed and happy about our first Vegas buffet experience.,Yes
Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,Yes
"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.",Yes
I'm probably one of the few people to ever go to Ians and not like it.,No
Kids pizza is always a hit too with lots of great side dish options for the kiddos!,Yes
Service is perfect and the family atmosphere is nice to see.,Yes
Cooked to perfection and the service was impeccable.,Yes
This one is simply a disappointment.,No
"Overall, I was very disappointed with the quality of food at Bouchon.",No
I don't have to be an accountant to know I'm getting screwed!,No
"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",Yes
Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.,Yes
Left very frustrated.,No
I'll definitely be in soon again.,Yes
Food was really good and I got full petty fast.,Yes
Service was fantastic.,Yes
TOTAL WASTE OF TIME.,No
I don't know what kind it is but they have the best iced tea.,Yes
"Come hungry, leave happy and stuffed!",Yes
"For service, I give them no stars.",No
I can assure you that you won't be disappointed.,Yes
I can take a little bad service but the food sucks.,No
Gave up trying to eat any of the crust (teeth still sore).,No
But now I was completely grossed out.,No
I really enjoyed eating here.,Yes
First time going but I think I will quickly become a regular.,Yes
"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",Yes
From what my dinner companions told me...everything was very fresh with nice texture and taste.,Yes
"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",No
"Furthermore, you can't even find hours of operation on the website!",No
We've tried to like this place but after 10+ times I think we're done with them.,No
What a mistake that was!,No
No complaints!,Yes
This is some seriously good pizza and I'm an expert/connisseur on the topic.,Yes
Waiter was a jerk.,No
"Strike 2, who wants to be rushed.",No
These are the nicest restaurant owners I've ever come across.,Yes
I never come again.,No
We loved the biscuits!!!,Yes
Service is quick and friendly.,Yes
Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.,No
So absolutley fantastic.,Yes
It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.,No
definitely will come back here again.,Yes
I like Steiners because it's dark and it feels like a bar.,Yes
Wow very spicy but delicious.,Yes
"If you're not familiar, check it out.",Yes
I'll take my business dinner dollars elsewhere.,No
I'd love to go back.,Yes
"Anyway, this FS restaurant has a wonderful breakfast/lunch.",Yes
Nothing special.,No
Each day of the week they have a different deal and it's all so delicious!,Yes
"Not to mention the combination of pears, almonds and bacon is a big winner!",Yes
Will not be back.,No
Sauce was tasteless.,No
"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.",Yes
My ribeye steak was cooked perfectly and had great mesquite flavor.,Yes
I don't think we'll be going back anytime soon.,No
Food was so gooodd.,Yes
I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.,No
I was so insulted.,No
The last 3 times I had lunch here has been bad.,No
The chicken wings contained the driest chicken meat I have ever eaten.,No
"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.",Yes
Nargile - I think you are great.,Yes
Best tater tots in the southwest.,Yes
We loved the place.,Yes
Definitely not worth the $3 I paid.,No
The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.,Yes
Im in AZ all the time and now have my new spot.,Yes
The manager was the worst.,No
The inside is really quite nice and very clean.,Yes
The food was outstanding and the prices were very reasonable.,Yes
I don't think I'll be running back to Carly's anytime soon for food.,No
"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things.",No
"Love the margaritas, too!",Yes
This was my first and only Vegas buffet and it did not disappoint.,Yes
"Very good, though!",Yes
The one down note is the ventilation could use some upgrading.,No
Great pork sandwich.,Yes
Don't waste your time here.,No
"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",No
"Third, the cheese on my friend's burger was cold.",No
We enjoy their pizza and brunch.,Yes
The steaks are all well trimmed and also perfectly cooked.,Yes
We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,Yes
I LOVED it!,Yes
We asked for the bill to leave without eating and they didn't bring that either.,No
"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.",Yes
Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.,No
The selection of food was not the best.,No
Delicious and I will absolutely be back!,Yes
"This isn't a small family restaurant, this is a fine dining establishment.",Yes
They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.,Yes
I dont think I will be back for a very long time.,No
"It was attached to a gas station, and that is rarely a good sign.",No
How awesome is that.,Yes
I will be back many times soon.,Yes
The menu had so much good stuff on it i could not decide!,Yes
"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings.",No
CONCLUSION: Very filling meals.,Yes
Their daily specials are always a hit with my group.,Yes
And then tragedy struck.,No
The pancake was also really good and pretty large at that.,Yes
"This was my first crawfish experience, and it was delicious!",Yes
Their monster chicken fried steak and eggs is my all time favorite.,Yes
Waitress was sweet and funny.,Yes
"I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!",Yes
"I'd rather eat airline food, seriously.",No
Cant say enough good things about this place.,Yes
The ambiance was incredible.,Yes
The waitress and manager are so friendly.,Yes
I would not recommend this place.,No
Overall I wasn't very impressed with Noca.,No
My gyro was basically lettuce only.,No
Terrible service!,No
Thoroughly disappointed!,No
"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",Yes
"Give it a try, you will be happy you did.",Yes
By far the BEST cheesecurds we have ever had!,Yes
Reasonably priced also!,Yes
Everything was perfect the night we were in.,Yes
The food is very good for your typical bar food.,Yes
it was a drive to get there.,No
"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.",Yes
"Anyway, I do not think i will go back there.",No
"Point your finger at any item on the menu, order it and you won't be disappointed.",Yes
"Oh this is such a thing of beauty, this restaurant.",Yes
If you haven't gone here GO NOW!,Yes
"A greasy, unhealthy meal.",No
first time there and might just be the last.,No
Those burgers were amazing.,Yes
"Similarly, the delivery man did not say a word of apology when our food was 45 minutes late.",No
And it was way to expensive.,No
"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.",Yes
This was my first time and I can't wait until the next.,Yes
The bartender was also nice.,Yes
Everything was good and tasty!,Yes
This place is two thumbs up....way up.,Yes
"The best place in Vegas for breakfast (just check out a Sat, or Sun.",Yes
"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.",Yes
Terrible management.,No
An excellent new restaurant by an experienced Frenchman.,Yes
If there were zero stars I would give it zero stars.,No
"Great steak, great sides, great wine, amazing desserts.",Yes
Worst martini ever!,No
The steak and the shrimp are in my opinion the best entrees at GC.,Yes
I had the opportunity today to sample your amazing pizzas!,Yes
We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).,No
The yellowtail carpaccio was melt in your mouth fresh.,Yes
I won't try going back there even if it's empty.,No
"No, I'm going to eat the potato that I found some strangers hair in it.",No
Just spicy enough.. Perfect actually.,Yes
Last night was my second time dining here and I was so happy I decided to go back!,Yes
"not even a ""hello, we will be right with you.""",No
The desserts were a bit strange.,No
My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.,Yes
"I really do recommend this place, you can go wrong with this donut place!",Yes
Nice ambiance.,Yes
I would recommend saving room for this!,Yes
I guess maybe we went on an off night but it was disgraceful.,No
"However, my recent experience at this particular location was not so good.",No
"I know this is not like the other restaurants at all, something is very off here!",No
AVOID THIS ESTABLISHMENT!,No
I think this restaurant suffers from not trying hard enough.,No
All of the tapas dishes were delicious!,Yes
I *heart* this place.,Yes
My salad had a bland vinegrette on the baby greens and hearts of Palm.,No
After two I felt disgusting.,No
A good time!,Yes
I believe that this place is a great stop for those with a huge belly and hankering for sushi.,Yes
Generous portions and great taste.,Yes
I will never go back to this place and will never ever recommended this place to anyone!,No
"The servers went back and forth several times, not even so much as an ""Are you being helped?""",No
Food was delicious!,Yes
AN HOUR... seriously?,No
I consider this theft.,No
Eew... This location needs a complete overhaul.,No
We recently witnessed her poor quality of management towards other guests as well.,No
Waited and waited and waited.,No
"He also came back to check on us regularly, excellent service.",Yes
Our server was super nice and checked on us many times.,Yes
"The pizza tasted old, super chewy in not a good way.",No
I swung in to give them a try but was deeply disappointed.,No
Service was good and the company was better!,Yes
The staff are also very friendly and efficient.,Yes
"As for the service: I'm a fan, because it's quick and you're being served by some nice folks.",Yes
Boy was that sucker dry!!.,No
Over rated.,No
"If you look for authentic Thai food, go else where.",No
Their steaks are 100% recommended!,Yes
After I pulled up my car I waited for another 15 minutes before being acknowledged.,No
